food;water;days;money
186;212;16;8280
238;257;17;7515
241;260;17;7445
234;252;16;7560
222;242;16;7770
234;252;16;7560
240;257;16;7490
241;260;17;7450
250;267;17;7335
228;247;16;7685
234;252;16;7560
214;237;17;7875
219;240;16;7810
232;252;17;7585
246;262;16;7310
204;227;16;8025
256;272;17;7215
264;277;16;7120
225;245;16;7725
282;293;16;6865
204;227;16;8025
268;282;17;7105
208;232;17;7960
252;267;16;7295
174;202;16;8450
252;267;16;7265
168;197;16;8535
192;217;16;8195
198;222;16;8110
246;262;16;7310
256;272;17;7275
252;267;16;7320
198;222;16;8110
250;267;17;7305
276;287;16;6835
208;232;17;7960
246;262;16;7310
210;232;16;7940
228;247;16;7685
246;262;16;7310
174;202;16;8450
264;277;16;7005
201;225;16;8065
246;262;16;7420
259;275;17;7205
180;207;16;8365
216;237;16;7855
194;222;18;8150
184;212;17;8300
223;245;17;7745
238;257;17;7455
222;242;16;7770
223;245;17;7745
264;277;16;7095
241;260;17;7445
248;267;18;7345
231;250;16;7620
210;232;16;7940
195;220;16;8150
208;232;17;7960
236;257;18;7480
276;287;16;6835
240;257;16;7490
186;212;16;8280
252;267;16;7265
250;267;17;7345
222;242;16;7770
192;217;16;8195
234;252;16;7560
219;240;16;7810
279;290;16;6880
276;287;16;6835
234;252;16;7560
198;222;16;8110
268;282;17;7100
216;237;16;7855
228;247;16;7685
222;242;16;7770
186;212;16;8280
180;207;16;8365
250;267;17;7340
228;247;16;7685
286;297;17;6705
276;287;16;6950
184;212;17;8300
210;232;16;7940
261;275;16;7195
168;197;16;8535
198;222;16;8110
240;257;16;7430
216;237;16;7855
198;222;16;8110
222;242;16;7770
219;240;16;7810
198;222;16;8110
249;265;16;7380
210;232;16;7940
201;225;16;8065
252;267;16;7320
237;255;16;7490
222;242;16;7770
246;262;16;7360
249;265;16;7365
232;252;17;7585
208;232;17;7960
205;230;17;8000
276;287;16;6950
213;235;16;7895
270;282;16;7080
240;257;16;7430
166;197;17;8555
258;272;16;7190
228;247;16;7685
246;262;16;7360
199;225;17;8085
208;232;17;7960
210;232;16;7940
256;272;17;7275
210;232;16;7940
238;257;17;7515
256;272;17;7275
268;282;17;7105
264;277;16;7120
231;250;16;7620
208;232;17;7960
243;260;16;7420
232;252;17;7585
216;237;16;7855
232;252;17;7585
258;272;16;7190
240;257;16;7430
222;242;16;7770
210;232;16;7940
254;272;18;7240
206;232;18;7980
228;247;16;7685
234;252;16;7560
256;272;17;7215
258;272;16;7190
246;262;16;7310
222;242;16;7770
238;257;17;7455
270;282;16;7060
256;272;17;7215
228;247;16;7685
210;232;16;7940
156;187;16;8705
198;222;16;8110
276;287;16;6835
264;277;16;7095
190;217;17;8215
216;237;16;7855
267;280;16;6980
243;260;16;7410
222;242;16;7770
264;277;16;7125
229;250;17;7645
168;197;16;8535
257;275;18;7165
248;267;18;7370
246;262;16;7310
210;232;16;7940
204;227;16;8025
258;272;16;7250
198;222;16;8110
271;285;17;7035
216;238;16;7850
220;242;17;7790
204;227;16;8025
276;287;16;6950
265;280;17;7070
189;215;16;8235
270;282;16;7080
195;220;16;8150
220;242;17;7790
226;247;17;7705
264;277;16;7095
259;275;17;7145
208;232;17;7960
252;267;16;7265
264;277;16;7120
237;255;16;7490
196;222;17;8130
231;250;16;7620
228;247;16;7685
180;207;16;8365
255;270;16;7270
210;232;16;7940
186;212;16;8280
208;232;17;7960
216;237;16;7855
252;267;16;7290
240;257;16;7430
178;207;17;8385
252;267;16;7320
228;247;16;7685
216;237;16;7855
222;242;16;7770
208;232;17;7960
246;262;16;7310
270;282;16;7080
210;232;16;7940
228;248;16;7680
204;227;16;8025
192;217;16;8195
242;262;18;7420
234;252;16;7560
230;252;18;7610
241;260;17;7450
252;267;16;7290
222;242;16;7770
214;237;17;7875
180;207;16;8365
219;240;16;7810
222;242;16;7770
225;245;16;7725
264;277;16;7095
220;242;17;7790
238;257;17;7515
186;212;16;8280
180;207;16;8365
201;225;16;8065
192;217;16;8195
204;227;16;8025
174;202;16;8450
216;237;16;7855
180;207;16;8365
234;252;16;7560
246;262;16;7420
222;242;16;7770
192;217;16;8195
238;257;17;7515
274;287;17;6875
258;272;16;7190
168;197;16;8535
219;240;16;7810
226;247;17;7705
246;262;16;7310
180;207;16;8365
276;287;16;6955
204;227;16;8025
267;280;16;7050
258;272;16;7190
232;252;17;7585
184;212;17;8300
240;257;16;7430
210;232;16;7940
273;285;16;7010
204;227;16;8025
210;232;16;7940
156;187;16;8705
228;247;16;7685
222;242;16;7770
222;242;16;7770
240;257;16;7490
222;242;16;7770
250;267;17;7305
235;255;17;7515
258;272;16;7250
219;240;16;7810
222;242;16;7770
234;252;16;7560
231;250;16;7620
261;275;16;7180
288;297;16;6665
228;247;16;7685
231;250;16;7620
228;247;16;7685
246;262;16;7310
216;237;16;7855
262;277;17;7165
228;247;16;7685
208;232;17;7960
218;242;18;7810
222;242;16;7770
204;227;16;8025
250;267;17;7345
210;232;16;7940
222;242;16;7770
213;235;16;7895
267;280;16;7050
231;250;16;7620
228;247;16;7685
258;272;16;7190
246;262;16;7310
268;282;17;7100
240;257;16;7430
246;262;16;7420
234;252;16;7560
214;237;17;7875
210;232;16;7940
240;257;16;7490
258;272;16;7250
190;217;17;8215
234;252;16;7560
220;242;17;7790
210;232;16;7940
186;212;16;8280
249;265;16;7380
252;267;16;7320
210;232;16;7940
228;247;16;7685
162;192;16;8620
229;250;17;7645
162;192;16;8620
180;207;16;8365
196;222;17;8130
252;267;16;7290
192;217;16;8195
192;217;16;8195
174;202;16;8450
198;222;16;8110
264;277;16;7125
219;240;16;7810
210;232;16;7940
246;262;16;7360
228;247;16;7685
264;277;16;7095
204;227;16;8025
240;257;16;7490
213;235;16;7895
210;232;16;7940
234;252;16;7560
238;257;17;7515
267;280;16;7050
204;227;16;8025
228;247;16;7685
204;227;16;8025
216;237;16;7855
258;272;16;7190
242;262;18;7420
210;232;16;7940
234;252;16;7560
276;287;16;6950
228;247;16;7685
210;232;16;7940
232;252;17;7585
216;237;16;7855
216;237;16;7855
258;272;16;7250
238;257;17;7515
268;282;17;7040
232;252;17;7585
249;265;16;7365
180;207;16;8365
240;257;16;7490
210;232;16;7940
240;257;16;7430
246;262;16;7420
162;192;16;8620
246;262;16;7360
246;262;16;7360
192;217;16;8195
256;272;17;7240
288;297;16;6665
246;262;16;7310
234;252;16;7560
262;277;17;7165
232;252;17;7585
270;282;16;7060
205;230;17;8000
262;277;17;7145
249;265;16;7365
244;262;17;7350
204;227;16;8025
210;232;16;7940
213;235;16;7895
218;242;18;7810
240;257;16;7430
227;250;18;7670
204;227;16;8025
240;257;16;7490
220;242;17;7790
237;255;16;7550
250;267;17;7345
228;247;16;7685
214;237;17;7875
240;257;16;7430
216;237;16;7855
228;247;16;7685
226;247;17;7705
234;252;16;7560
216;237;16;7855
240;257;16;7430
242;262;18;7390
228;247;16;7685
168;197;16;8535
240;257;16;7430
243;260;16;7420
256;272;17;7215
255;270;16;7150
234;253;16;7575
210;232;16;7940
219;240;16;7810
276;287;16;6835
238;257;17;7515
232;252;17;7585
246;262;16;7360
246;262;16;7310
241;260;17;7445
240;257;16;7490
198;222;16;8110
261;275;16;7180
198;222;16;8110
198;222;16;8110
234;252;16;7560
246;262;16;7310
252;267;16;7320
228;247;16;7685
231;250;16;7620
264;277;16;7120
186;212;16;8280
252;267;16;7320
220;242;17;7790
228;247;16;7685
246;262;16;7420
206;232;18;7980
234;252;16;7560
252;267;16;7320
250;267;17;7345
214;237;17;7875
225;245;16;7725
235;255;17;7515
252;267;16;7320
270;282;16;7060
222;242;16;7770
210;232;16;7940
276;287;16;6950
220;242;17;7790
228;248;16;7680
204;227;16;8025
246;262;16;7310
240;257;16;7430
243;260;16;7440
260;277;18;7170
192;217;16;8195
204;227;16;8025
252;267;16;7265
249;265;16;7365
232;252;17;7585
235;255;17;7515
244;262;17;7350
228;247;16;7685
196;222;17;8130
228;247;16;7685
210;232;16;7940
228;247;16;7685
252;267;16;7320
220;242;17;7790
213;235;16;7895
264;277;16;7005
249;265;16;7350
228;247;16;7685
253;270;17;7245
186;212;16;8280
234;252;16;7560
210;232;16;7940
210;232;16;7940
238;257;17;7455
228;247;16;7685
214;237;17;7875
210;232;16;7940
192;217;16;8195
198;222;16;8110
273;285;16;7010
236;257;18;7540
228;247;16;7685
246;262;16;7420
182;212;18;8320
256;272;17;7275
234;252;16;7560
232;252;17;7585
186;212;16;8280
186;212;16;8280
226;247;17;7705
186;212;16;8280
246;262;16;7360
204;227;16;8025
244;262;17;7350
192;217;16;8195
220;242;17;7790
198;222;16;8110
206;232;18;7980
228;247;16;7685
180;207;16;8365
276;287;16;6950
229;250;17;7645
246;262;16;7420
270;282;16;7080
240;257;16;7430
201;225;16;8065
198;222;16;8110
204;227;16;8025
244;262;17;7445
198;222;16;8110
228;247;16;7685
240;257;16;7490
214;237;17;7875
198;222;16;8110
252;267;16;7320
264;277;16;7095
222;242;16;7770
250;267;17;7345
216;237;16;7855
225;245;16;7725
228;247;16;7685
186;212;16;8280
162;192;16;8620
192;217;16;8195
222;242;16;7770
240;257;16;7430
274;287;17;6875
204;227;16;8025
216;237;16;7855
234;252;16;7560
240;257;16;7430
210;232;16;7940
246;262;16;7360
228;247;16;7685
204;227;16;8025
210;232;16;7940
207;230;16;7980
180;207;16;8365
210;232;16;7940
220;242;17;7790
243;260;16;7410
180;207;16;8365
244;262;17;7385
246;262;16;7420
268;282;17;7100
261;275;16;7180
270;282;16;7080
260;277;18;7205
228;247;16;7685
256;272;17;7270
228;247;16;7685
252;267;16;7295
210;232;16;7940
246;262;16;7310
250;267;17;7305
228;247;16;7685
236;257;18;7480
183;210;16;8320
256;272;17;7215
232;252;17;7585
216;237;16;7855
210;232;16;7940
228;247;16;7685
276;287;16;6835
259;275;17;7205
220;242;17;7790
204;227;16;8025
195;220;16;8150
236;257;18;7480
228;247;16;7685
276;287;16;6835
210;232;16;7940
249;265;16;7350
228;247;16;7685
252;267;16;7320
198;222;16;8110
216;237;16;7855
198;222;16;8110
246;263;16;7350
258;272;16;7230
234;252;16;7560
244;262;17;7445
228;247;16;7685
210;232;16;7940
228;252;19;7640
240;257;16;7490
236;257;18;7540
252;267;16;7320
226;247;17;7705
228;247;16;7685
216;237;16;7855
216;237;16;7855
279;290;16;6880
280;292;17;6930
234;252;16;7560
238;257;17;7455
204;227;16;8025
235;255;17;7515
252;267;16;7265
192;217;16;8195
261;275;16;7180
222;242;16;7770
232;252;17;7585
264;277;16;7120
243;260;16;7410
258;272;16;7250
228;247;16;7685
258;272;16;7250
264;277;16;7005
246;262;16;7310
228;247;16;7685
222;242;16;7770
258;272;16;7250
276;287;16;6835
190;217;17;8215
219;240;16;7810
249;265;16;7380
259;275;17;7205
216;237;16;7855
198;222;16;8110
264;277;16;7120
219;240;16;7810
286;297;17;6800
276;287;16;6950
228;247;16;7685
288;297;16;6665
240;257;16;7430
234;252;16;7560
226;247;17;7705
274;287;17;6975
156;187;16;8705
252;267;16;7265
240;257;16;7430
210;232;16;7940
258;272;16;7190
258;272;16;7230
270;282;16;7080
252;267;16;7320
232;252;17;7585
186;212;16;8280
240;257;16;7430
255;270;16;7270
225;245;16;7725
243;260;16;7410
243;260;16;7410
240;257;16;7430
252;267;16;7265
186;212;16;8280
258;272;16;7190
252;267;16;7290
270;282;16;7060
242;262;18;7420
274;287;17;6875
216;237;16;7855
186;212;16;8280
258;272;16;7190
228;247;16;7685
238;257;17;7455
255;270;16;7250
260;277;18;7170
207;230;16;7980
226;247;17;7705
202;227;17;8045
222;242;16;7770
168;197;16;8535
240;257;16;7490
238;257;17;7515
252;267;16;7265
186;212;16;8280
204;227;16;8025
232;252;17;7585
213;235;16;7895
238;257;17;7515
228;247;16;7685
241;260;17;7480
206;232;18;7980
232;252;17;7585
234;252;16;7560
210;232;16;7940
156;187;16;8705
198;222;16;8110
238;257;17;7455
222;242;16;7770
246;262;16;7310
234;252;16;7560
208;232;17;7960
280;292;17;6930
258;272;16;7250
258;272;16;7250
210;232;16;7940
258;272;16;7190
216;237;16;7855
238;257;17;7515
202;227;17;8045
267;280;16;7050
237;255;16;7550
261;275;16;7195
234;252;16;7560
228;247;16;7685
232;252;17;7585
168;197;16;8535
198;222;16;8110
272;287;18;7035
226;247;17;7705
252;267;16;7295
216;237;16;7855
222;242;16;7770
232;252;17;7585
222;242;16;7770
228;247;16;7685
246;262;16;7360
250;267;17;7345
244;262;17;7445
201;225;16;8065
186;212;16;8280
194;222;18;8150
156;187;16;8705
240;257;16;7430
204;227;16;8025
204;227;16;8025
228;247;16;7685
228;247;16;7685
246;262;16;7360
210;232;16;7940
168;197;16;8535
216;237;16;7855
208;232;17;7960
228;247;16;7685
180;207;16;8365
220;242;17;7790
210;232;16;7940
255;270;16;7150
210;232;16;7940
266;282;18;7100
228;247;16;7685
213;235;16;7895
247;265;17;7315
258;272;16;7190
186;212;16;8280
249;266;16;7340
234;252;16;7560
210;232;16;7940
252;267;16;7320
219;240;16;7810
204;227;16;8025
252;267;16;7320
252;267;16;7265
282;292;16;6890
252;267;16;7290
222;242;16;7770
226;247;17;7705
250;267;17;7305
232;252;17;7585
246;262;16;7310
261;275;16;7105
240;257;16;7430
198;222;16;8110
204;227;16;8025
216;237;16;7855
244;262;17;7350
214;237;17;7875
201;225;16;8065
252;267;16;7320
225;245;16;7725
222;242;16;7770
273;285;16;6935
212;237;18;7895
240;257;16;7430
234;252;16;7560
250;267;17;7345
224;247;18;7725
196;222;17;8130
213;235;16;7895
174;202;16;8450
156;187;16;8705
224;247;18;7725
216;237;16;7855
198;222;16;8110
228;252;19;7640
246;262;16;7360
189;215;16;8235
246;262;16;7310
168;197;16;8535
246;262;16;7360
204;227;16;8025
268;282;17;7100
201;225;16;8065
264;277;16;7120
238;257;17;7515
226;247;17;7705
210;232;16;7940
222;242;16;7770
216;237;16;7855
201;226;16;8060
243;260;16;7440
231;250;16;7620
210;232;16;7940
231;250;16;7620
174;202;16;8450
226;247;17;7705
228;247;16;7685
198;222;16;8110
232;252;17;7585
208;232;17;7960
204;227;16;8025
204;227;16;8025
186;212;16;8280
274;287;17;6995
210;232;16;7940
228;247;16;7685
208;232;17;7960
216;237;16;7855
234;252;16;7560
252;267;16;7320
231;250;16;7620
258;272;16;7250
168;197;16;8535
228;247;16;7685
204;227;16;8025
246;262;16;7310
216;237;16;7855
204;227;16;8025
216;237;16;7855
240;257;16;7430
240;257;16;7430
222;242;16;7770
273;285;16;7010
204;227;16;8025
246;262;16;7310
186;212;16;8280
204;227;16;8025
216;237;16;7855
258;272;16;7190
276;287;16;6835
250;267;17;7345
252;267;16;7265
190;217;17;8215
180;207;16;8365
243;260;16;7440
226;247;17;7705
243;260;16;7410
262;277;17;7165
220;242;17;7790
241;260;17;7450
252;267;16;7265
258;272;16;7250
234;252;16;7560
232;252;17;7585
268;282;17;7105
180;207;16;8365
249;265;16;7380
258;272;16;7250
186;212;16;8280
208;232;17;7960
198;222;16;8110
186;212;16;8280
246;262;16;7310
222;242;16;7770
216;237;16;7855
225;245;16;7725
286;297;17;6705
231;250;16;7620
225;245;16;7725
256;272;17;7275
270;282;16;7080
225;245;16;7725
256;272;17;7275
222;242;16;7770
222;242;16;7770
246;262;16;7310
228;247;16;7685
216;237;16;7855
204;227;16;8025
222;242;16;7770
270;282;16;7060
229;250;17;7645
240;257;16;7430
246;262;16;7310
234;252;16;7560
246;262;16;7360
264;277;16;7120
228;247;16;7685
262;277;17;7145
220;242;17;7790
240;257;16;7430
258;272;16;7250
204;227;16;8025
234;252;16;7560
204;227;16;8025
222;242;16;7770
205;230;17;8000
236;257;18;7540
246;262;16;7310
204;227;16;8025
234;252;16;7560
250;267;17;7345
240;257;16;7490
228;247;16;7685
226;247;17;7705
248;267;18;7340
192;217;16;8195
216;237;16;7855
234;252;16;7560
222;242;16;7770
240;257;16;7430
264;277;16;7005
258;272;16;7230
198;222;16;8110
200;227;18;8065
243;260;16;7410
168;197;16;8535
228;247;16;7685
240;257;16;7490
262;277;17;7135
233;255;18;7555
246;267;19;7370
201;225;16;8065
226;247;17;7705
180;207;16;8365
234;252;16;7560
162;192;16;8620
238;257;17;7455
208;232;17;7960
262;277;17;7145
220;242;17;7790
216;237;16;7855
234;252;16;7560
216;237;16;7855
234;252;16;7560
228;247;16;7685
216;237;16;7855
220;242;17;7790
210;232;16;7940
234;252;16;7560
258;272;16;7190
198;222;16;8110
228;247;16;7685
241;260;17;7450
192;217;16;8195
264;277;16;7095
232;252;17;7585
234;252;16;7560
