food;water;days;money
184;197;12;8375
162;177;11;8695
144;162;11;8950
180;192;11;8440
186;197;11;8355
184;197;12;8375
144;162;11;8950
162;177;11;8695
162;177;11;8695
165;180;11;8650
183;195;11;8395
168;182;11;8610
177;190;11;8480
162;177;11;8695
102;127;11;9545
132;152;11;9120
220;227;12;7865
180;193;11;8435
144;162;11;8950
210;218;11;8010
138;157;11;9035
156;172;11;8780
150;167;11;8865
222;227;11;7845
162;177;11;8695
204;212;11;8100
132;152;11;9120
192;202;11;8270
162;177;11;8695
219;225;11;7885
114;137;11;9375
195;205;11;8225
189;200;11;8310
150;167;11;8865
171;185;11;8565
180;192;11;8440
144;162;11;8950
142;162;12;8970
162;177;11;8695
180;192;11;8440
144;162;11;8950
174;187;11;8525
180;192;11;8440
192;202;11;8270
186;197;11;8355
180;192;11;8440
180;192;11;8440
186;197;11;8355
192;202;11;8270
138;157;11;9035
177;190;11;8480
102;127;11;9545
165;180;11;8650
156;172;11;8780
168;182;11;8610
198;207;11;8185
172;187;12;8545
180;192;11;8440
166;182;12;8630
166;182;12;8630
222;227;11;7845
153;170;11;8820
144;162;11;8950
184;197;12;8375
183;195;11;8395
177;190;11;8480
171;185;11;8565
192;202;11;8270
195;205;11;8225
186;197;11;8355
174;187;11;8525
180;192;11;8440
144;162;11;8950
174;187;11;8525
162;177;11;8695
162;177;11;8695
120;142;11;9290
154;172;12;8800
174;187;11;8525
202;212;12;8120
180;192;11;8440
168;182;11;8610
150;167;11;8865
198;207;11;8185
180;192;11;8440
192;202;11;8270
153;170;11;8820
204;212;11;8100
156;172;11;8780
208;217;12;8035
186;198;11;8350
124;147;12;9225
144;162;11;8950
181;195;12;8415
117;140;11;9330
162;177;11;8695
210;217;11;8015
172;187;12;8545
177;190;11;8480
180;192;11;8440
162;177;11;8695
136;157;12;9055
210;218;11;8010
222;227;11;7845
180;192;11;8440
150;167;11;8865
214;222;12;7950
114;137;11;9375
186;197;11;8355
180;192;11;8440
156;172;11;8780
174;187;11;8525
213;220;11;7970
192;202;11;8270
174;187;11;8525
168;182;11;8610
181;195;12;8415
186;197;11;8355
192;202;11;8270
210;217;11;8015
144;162;11;8950
174;187;11;8525
176;192;13;8480
126;147;11;9205
162;177;11;8695
229;235;12;7735
195;205;11;8225
144;162;11;8950
154;172;12;8800
168;182;11;8610
210;217;11;8015
168;182;11;8610
180;192;11;8440
174;187;11;8525
190;202;12;8290
144;162;11;8950
138;157;11;9035
186;197;11;8355
186;197;11;8355
154;172;12;8800
174;187;11;8525
156;172;11;8780
180;192;11;8440
124;147;12;9225
192;202;11;8270
184;197;12;8375
120;142;11;9290
174;187;11;8525
174;187;11;8525
150;167;11;8865
180;192;11;8440
126;147;11;9205
210;217;11;8015
198;208;11;8180
192;202;11;8270
165;180;11;8650
156;172;11;8780
190;202;12;8290
150;167;11;8865
210;217;11;8015
150;167;11;8865
187;200;12;8330
132;152;11;9120
167;185;13;8605
192;202;11;8270
126;147;11;9205
138;157;11;9035
192;202;11;8270
166;182;12;8630
156;172;11;8780
126;147;11;9205
192;202;11;8270
150;167;11;8865
206;217;13;8055
156;172;11;8780
234;238;11;7670
174;187;11;8525
126;147;11;9205
150;167;11;8865
168;182;11;8610
150;167;11;8865
190;202;12;8290
138;157;11;9035
174;187;11;8525
174;187;11;8525
186;197;11;8355
132;152;11;9120
162;177;11;8695
180;192;11;8440
180;192;11;8440
189;200;11;8310
156;172;11;8780
201;211;11;8135
148;167;12;8885
174;187;11;8525
114;137;11;9375
204;212;11;8100
213;220;11;7970
195;205;11;8225
168;182;11;8610
162;177;11;8695
162;177;11;8695
186;197;11;8355
154;172;12;8800
162;177;11;8695
147;165;11;8905
198;207;11;8185
144;162;11;8950
