food;water;days;money
445;470;28;14190
373;410;28;15155
459;485;30;13925
345;385;27;15545
414;443;27;14635
441;465;27;14235
369;405;27;15275
381;415;27;15085
421;450;28;14480
456;478;27;14040
417;445;27;14575
431;460;29;14355
369;405;27;15245
423;450;27;14480
373;411;28;15210
387;420;27;15010
387;420;27;14945
433;460;28;14360
366;403;27;15285
436;463;28;14245
361;400;28;15320
382;418;28;14940
431;460;29;14330
444;468;27;14215
435;460;27;14320
459;480;27;13985
423;451;27;14475
459;481;27;13965
384;418;27;15010
369;405;27;15275
465;485;27;13845
450;473;27;14055
448;473;28;14145
453;476;27;14085
327;370;27;15840
355;395;28;15420
417;445;27;14595
398;433;29;14775
363;400;27;15345
403;435;28;14775
459;480;27;13985
375;410;27;15170
369;405;27;15260
411;440;27;14680
417;445;27;14580
415;445;28;14620
406;438;28;14695
399;430;27;14830
447;470;27;14060
399;430;27;14840
351;390;27;15485
324;368;27;15900
391;425;28;14915
405;435;27;14735
391;425;28;14935
440;468;29;14230
435;460;27;14270
439;465;28;14205
409;440;28;14705
393;425;27;14905
366;403;27;15290
448;473;28;14130
340;383;28;15555
408;438;27;14710
393;425;27;14890
411;440;27;14570
418;448;28;14490
416;448;29;14510
339;380;27;15700
357;395;27;15430
443;470;29;14200
390;423;27;14965
437;465;29;14245
357;395;27;15415
426;453;27;14470
367;405;28;15155
423;450;27;14500
415;445;28;14475
454;478;28;14055
357;395;27;15415
357;395;27;15385
455;480;29;13950
339;380;27;15590
429;455;27;14410
354;393;27;15490
423;451;27;14495
433;460;28;14365
339;380;27;15680
390;423;27;14980
393;425;27;14890
435;460;27;14325
384;418;27;15035
411;440;27;14650
435;460;27;14325
451;475;28;14095
405;435;27;14655
381;415;27;15075
346;388;28;15585
424;453;28;14475
417;445;27;14535
367;405;28;15300
387;420;27;15005
418;448;28;14450
373;410;28;15210
468;488;27;13820
477;495;27;13725
351;390;27;15485
315;360;27;16040
353;395;29;15490
408;443;30;14625
481;500;28;13605
421;450;28;14515
399;430;27;14835
383;420;29;14990
461;485;29;13960
405;435;27;14695
367;405;28;15270
435;460;27;14320
446;473;29;14160
345;385;27;15615
373;410;28;15200
396;428;27;14880
415;445;28;14605
401;435;29;14770
420;448;27;14530
375;410;27;15160
370;408;28;15230
379;415;28;15035
399;435;30;14805
463;485;28;13940
321;365;27;15935
423;450;27;14440
366;403;27;15215
475;496;28;13725
462;483;27;13895
439;465;28;14275
421;451;28;14485
381;415;27;15085
441;466;27;14200
399;430;27;14740
433;460;28;14360
406;438;28;14600
384;418;27;14990
374;413;29;15175
405;435;27;14705
379;415;28;15130
443;470;29;14205
402;433;27;14790
391;425;28;14880
397;430;28;14870
426;453;27;14410
405;435;27;14745
333;375;27;15775
458;483;29;13975
405;435;27;14720
415;445;28;14605
448;473;28;14135
426;453;27;14355
411;440;27;14660
469;491;28;13795
387;420;27;15020
387;420;27;14990
349;390;28;15540
390;423;27;14980
411;440;27;14650
406;438;28;14620
353;395;29;15465
419;450;29;14545
345;385;27;15615
421;450;28;14500
387;420;27;14975
423;451;27;14345
387;420;27;14945
393;425;27;14935
418;448;28;14540
369;405;27;15205
366;403;27;15305
377;415;29;15140
370;408;28;15255
387;420;27;14910
374;413;29;15155
429;455;27;14410
463;485;28;13845
349;390;28;15550
366;403;27;15290
351;390;27;15515
405;435;27;14655
420;448;27;14550
365;405;29;15315
430;458;28;14365
403;435;28;14715
453;480;30;14035
343;385;28;15640
361;400;28;15380
391;425;28;14915
369;406;27;15275
375;410;27;15030
360;398;27;15330
433;460;28;14350
411;440;27;14665
423;450;27;14350
387;420;27;14960
339;380;27;15660
331;375;28;15795
464;489;29;13885
396;428;27;14895
409;440;28;14705
339;380;27;15670
408;438;27;14695
369;405;27;15275
399;431;27;14840
435;460;27;14325
357;395;27;15430
408;438;27;14700
357;395;27;15385
325;370;28;15840
383;420;29;15040
385;420;28;14950
400;433;28;14800
447;470;27;14170
426;453;27;14440
442;468;28;14230
369;405;27;15200
405;435;27;14765
465;485;27;13895
381;415;27;15105
345;385;27;15605
432;458;27;14305
463;485;28;13910
369;405;27;15245
405;435;27;14695
366;403;27;15265
439;466;28;14270
351;390;27;15530
405;435;27;14750
355;395;28;15425
411;440;27;14670
387;420;27;14990
363;400;27;15290
443;470;29;14200
421;450;28;14520
385;420;28;15030
467;490;29;13840
339;380;27;15670
360;398;27;15375
430;458;28;14380
388;423;28;14945
373;410;28;15200
337;380;28;15665
379;415;28;15125
415;445;28;14615
405;440;30;14745
373;410;28;15120
345;385;27;15585
463;485;28;13885
463;485;28;13935
420;448;27;14495
351;390;27;15460
357;395;27;15445
355;395;28;15455
455;480;29;14035
387;420;27;15020
410;443;29;14675
354;393;27;15385
444;468;27;14135
327;370;27;15840
402;433;27;14785
421;450;28;14520
441;465;27;14240
367;405;28;15275
375;410;27;15150
386;423;29;14895
393;425;27;14775
384;418;27;15005
405;435;27;14705
373;410;28;15185
438;463;27;14275
381;415;27;15085
361;400;28;15220
369;405;27;15245
420;448;27;14555
433;460;28;14360
387;420;27;14960
379;415;28;15130
427;455;28;14445
447;470;27;14155
355;395;28;15470
345;385;27;15615
