food;water;days;money
84;94;8;8690
108;114;8;8350
120;124;8;8180
72;84;8;8860
94;104;9;8540
84;94;8;8690
96;104;8;8520
72;84;8;8860
132;134;8;8010
120;124;8;8180
130;134;9;8030
94;104;9;8540
108;114;8;8350
96;104;8;8520
142;144;9;7860
84;94;8;8690
104;114;10;8390
72;84;8;8860
104;114;10;8390
72;84;8;8860
96;104;8;8520
84;94;8;8690
108;114;8;8350
94;104;9;8540
108;114;8;8350
84;94;8;8690
120;124;8;8180
118;124;9;8200
118;124;9;8200
70;84;9;8880
96;104;8;8520
108;114;8;8350
94;104;9;8540
108;114;8;8350
108;114;8;8350
106;114;9;8370
120;124;8;8180
120;124;8;8180
84;94;8;8690
84;94;8;8690
84;94;8;8690
96;104;8;8520
84;94;8;8690
94;104;9;8540
118;124;9;8200
96;104;8;8520
96;104;8;8520
132;134;8;8010
84;94;8;8690
96;104;8;8520
94;104;9;8540
84;94;8;8690
96;104;8;8520
72;84;8;8860
108;114;8;8350
108;114;8;8350
118;124;9;8200
96;104;8;8520
96;104;8;8520
84;94;8;8690
96;104;8;8520
108;114;8;8350
140;144;10;7880
84;94;8;8690
84;94;8;8690
120;124;8;8180
106;114;9;8370
108;114;8;8350
108;114;8;8350
106;114;9;8370
116;124;10;8220
96;104;8;8520
120;124;8;8180
96;104;8;8520
72;84;8;8860
48;64;8;9200
108;114;8;8350
72;84;8;8860
108;114;8;8350
82;94;9;8710
118;124;9;8200
82;94;9;8710
96;104;8;8520
108;114;8;8350
96;104;8;8520
84;94;8;8690
120;124;8;8180
94;104;9;8540
96;104;8;8520
108;114;8;8350
96;104;8;8520
132;134;8;8010
84;94;8;8690
84;94;8;8690
130;134;9;8030
84;94;8;8690
120;124;8;8180
152;154;10;7710
104;114;10;8390
118;124;9;8200
130;134;9;8030
94;104;9;8540
96;104;8;8520
96;104;8;8520
108;114;8;8350
96;104;8;8520
108;114;8;8350
108;114;8;8350
106;114;9;8370
84;94;8;8690
94;104;9;8540
84;94;8;8690
72;84;8;8860
108;114;8;8350
116;124;10;8220
118;124;9;8200
108;114;8;8350
108;114;8;8350
104;114;10;8390
108;114;8;8350
106;114;9;8370
84;94;8;8690
96;104;8;8520
70;84;9;8880
72;84;8;8860
96;104;8;8520
120;124;8;8180
118;124;9;8200
84;94;8;8690
72;84;8;8860
120;124;8;8180
96;104;8;8520
108;114;8;8350
96;104;8;8520
108;114;8;8350
96;104;8;8520
96;104;8;8520
84;94;8;8690
132;134;8;8010
72;84;8;8860
96;104;8;8520
120;124;8;8180
48;64;8;9200
96;104;8;8520
130;134;9;8030
106;114;9;8370
132;134;8;8010
108;114;8;8350
84;94;8;8690
108;114;8;8350
108;114;8;8350
94;104;9;8540
84;94;8;8690
96;104;8;8520
84;94;8;8690
106;114;9;8370
118;124;9;8200
72;84;8;8860
84;94;8;8690
108;114;8;8350
96;104;8;8520
108;114;8;8350
72;84;8;8860
96;104;8;8520
108;114;8;8350
106;114;9;8370
120;124;8;8180
72;84;8;8860
130;134;9;8030
106;114;9;8370
96;104;8;8520
96;104;8;8520
108;114;8;8350
84;94;8;8690
108;114;8;8350
106;114;9;8370
96;104;8;8520
104;114;10;8390
84;94;8;8690
128;134;10;8050
72;84;8;8860
70;84;9;8880
118;124;9;8200
120;124;8;8180
108;114;8;8350
104;114;10;8390
130;134;9;8030
96;104;8;8520
96;104;8;8520
140;144;10;7880
84;94;8;8690
84;94;8;8690
96;104;8;8520
92;104;10;8560
72;84;8;8860
96;104;8;8520
120;124;8;8180
82;94;9;8710
92;104;10;8560
84;94;8;8690
96;104;8;8520
60;74;8;9030
72;84;8;8860
120;124;8;8180
96;104;8;8520
96;104;8;8520
96;104;8;8520
108;114;8;8350
72;84;8;8860
96;104;8;8520
108;114;8;8350
108;114;8;8350
72;84;8;8860
84;94;8;8690
84;94;8;8690
108;114;8;8350
96;104;8;8520
94;104;9;8540
130;134;9;8030
120;124;8;8180
106;114;9;8370
84;94;8;8690
96;104;8;8520
72;84;8;8860
108;114;8;8350
72;84;8;8860
118;124;9;8200
72;84;8;8860
84;94;8;8690
102;114;11;8410
108;114;8;8350
108;114;8;8350
120;124;8;8180
108;114;8;8350
120;124;8;8180
84;94;8;8690
132;134;8;8010
132;134;8;8010
84;94;8;8690
132;134;8;8010
96;104;8;8520
108;114;8;8350
84;94;8;8690
120;124;8;8180
72;84;8;8860
120;124;8;8180
120;124;8;8180
96;104;8;8520
120;124;8;8180
106;114;9;8370
132;134;8;8010
96;104;8;8520
106;114;9;8370
84;94;8;8690
84;94;8;8690
106;114;9;8370
142;144;9;7860
72;84;8;8860
72;84;8;8860
84;94;8;8690
96;104;8;8520
82;94;9;8710
132;134;8;8010
84;94;8;8690
108;114;8;8350
132;134;8;8010
84;94;8;8690
106;114;9;8370
106;114;9;8370
120;124;8;8180
84;94;8;8690
84;94;8;8690
72;84;8;8860
108;114;8;8350
106;114;9;8370
108;114;8;8350
96;104;8;8520
72;84;8;8860
118;124;9;8200
96;104;8;8520
108;114;8;8350
84;94;8;8690
120;124;8;8180
96;104;8;8520
84;94;8;8690
72;84;8;8860
84;94;8;8690
96;104;8;8520
144;144;8;7840
82;94;9;8710
108;114;8;8350
106;114;9;8370
108;114;8;8350
72;84;8;8860
108;114;8;8350
84;94;8;8690
72;84;8;8860
118;124;9;8200
84;94;8;8690
84;94;8;8690
84;94;8;8690
120;124;8;8180
96;104;8;8520
92;104;10;8560
96;104;8;8520
128;134;10;8050
106;114;9;8370
84;94;8;8690
84;94;8;8690
96;104;8;8520
108;114;8;8350
96;104;8;8520
120;124;8;8180
