food;water;days;money
137;143;15;8915
119;113;15;9245
128;128;15;9080
115;133;16;9185
113;131;15;9215
122;104;15;9260
119;113;15;9245
112;142;16;9170
121;115;16;9215
119;113;15;9245
119;113;15;9245
113;131;15;9215
121;115;16;9215
122;104;15;9260
118;124;16;9200
125;137;15;9065
113;131;15;9215
125;95;15;9275
125;95;15;9275
134;110;15;9110
119;113;15;9245
122;104;15;9260
119;113;15;9245
113;131;15;9215
122;104;15;9260
119;113;15;9245
113;131;15;9215
119;113;15;9245
113;131;15;9215
127;97;16;9245
118;124;16;9200
110;140;15;9200
118;124;16;9200
122;104;15;9260
110;140;15;9200
125;137;15;9065
121;115;16;9215
119;113;15;9245
119;113;15;9245
115;133;16;9185
122;104;15;9260
119;113;15;9245
110;140;15;9200
115;133;16;9185
120;126;17;9170
116;122;15;9230
127;139;16;9035
122;104;15;9260
124;106;16;9230
127;139;16;9035
119;113;15;9245
116;122;15;9230
122;104;15;9260
121;115;16;9215
116;122;15;9230
121;115;16;9215
115;133;16;9185
119;113;15;9245
122;104;15;9260
119;113;15;9245
116;122;15;9230
122;104;15;9260
134;110;15;9110
119;113;15;9245
115;133;16;9185
113;131;15;9215
113;131;15;9215
116;122;15;9230
116;122;15;9230
119;113;15;9245
110;140;15;9200
116;122;15;9230
131;119;15;9095
116;122;15;9230
113;131;15;9215
110;140;15;9200
125;137;15;9065
118;124;16;9200
110;140;15;9200
122;104;15;9260
119;113;15;9245
110;140;15;9200
121;115;16;9215
113;131;15;9215
113;131;15;9215
119;113;15;9245
120;126;17;9170
116;122;15;9230
113;131;15;9215
121;115;16;9215
124;106;16;9230
116;122;15;9230
119;113;15;9245
119;113;15;9245
125;95;15;9275
113;131;15;9215
120;126;17;9170
134;152;15;8900
119;113;15;9245
125;137;15;9065
119;113;15;9245
113;131;15;9215
119;113;15;9245
116;122;15;9230
119;113;15;9245
119;113;15;9245
123;117;17;9185
128;128;15;9080
116;122;15;9230
116;122;15;9230
124;148;16;9020
118;124;16;9200
116;122;15;9230
122;104;15;9260
118;124;16;9200
110;140;15;9200
113;131;15;9215
119;113;15;9245
113;131;15;9215
121;115;16;9215
110;140;15;9200
113;131;15;9215
113;131;15;9215
121;115;16;9215
125;95;15;9275
119;113;15;9245
116;122;15;9230
113;131;15;9215
121;115;16;9215
119;113;15;9245
110;140;15;9200
131;119;15;9095
124;106;16;9230
122;104;15;9260
116;122;15;9230
121;115;16;9215
122;104;15;9260
112;142;16;9170
128;128;15;9080
128;128;15;9080
140;134;15;8930
122;146;15;9050
116;122;15;9230
115;133;16;9185
121;115;16;9215
119;113;15;9245
124;106;16;9230
116;122;15;9230
125;95;15;9275
142;136;16;8900
112;142;16;9170
116;122;15;9230
124;106;16;9230
131;119;15;9095
119;113;15;9245
123;117;17;9185
113;131;15;9215
122;104;15;9260
119;113;15;9245
113;131;15;9215
116;122;15;9230
116;122;15;9230
113;131;15;9215
121;115;16;9215
119;113;15;9245
113;131;15;9215
113;131;15;9215
115;133;16;9185
119;113;15;9245
120;126;17;9170
119;113;15;9245
116;122;15;9230
119;113;15;9245
116;122;15;9230
116;122;15;9230
116;122;15;9230
122;104;15;9260
116;122;15;9230
116;122;15;9230
128;128;15;9080
124;106;16;9230
118;124;16;9200
110;140;15;9200
119;113;15;9245
124;106;16;9230
116;122;15;9230
121;115;16;9215
119;113;15;9245
119;113;15;9245
119;113;15;9245
113;131;15;9215
130;130;16;9050
128;128;15;9080
122;104;15;9260
116;122;15;9230
118;124;16;9200
121;115;16;9215
116;122;15;9230
118;124;16;9200
125;137;15;9065
122;104;15;9260
131;101;18;9185
119;113;15;9245
119;113;15;9245
121;115;16;9215
118;124;16;9200
128;128;15;9080
119;113;15;9245
119;113;15;9245
121;115;16;9215
115;133;16;9185
119;113;15;9245
129;141;17;9005
116;122;15;9230
128;128;15;9080
